Problem,Contest,Index,Tags,solvedCount
Santa's Bot,1279,D,"combinatorics, math, probabilities",5608
Berry Jam,1278,C,"data structures, dp, greedy, implementation",7336
A and B,1278,B,"greedy, math",12394
Remove One Element,1272,D,"brute force, dp",14916
Modulo Equality,1269,B,"brute force, sortings",8685
Long Beautiful Integer,1268,A,"constructive algorithms, greedy, implementation, strings",8103
Elections,1267,E,greedy,2848
Beautiful Regional Contest,1264,A,"greedy, implementation",9652
Secret Passwords,1263,D,"dfs and similar, dsu, graphs",12564
Infinite Fence,1260,C,"greedy, math, number theory",7664
Yet Another Monster Killing Problem,1257,D,"binary search, data structures, dp, greedy, sortings, two pointers",7018
Binary String Minimizing,1256,D,greedy,11343
Platforms Jumping,1256,C,greedy,6433
League of Leesins,1255,C,"constructive algorithms, implementation",6368
Feeding Chicken,1254,A,"constructive algorithms, greedy, implementation",4861
Harmonious Graph,1253,D,"constructive algorithms, dfs and similar, dsu, graphs, greedy, sortings",8481
Sweets Eating,1253,C,"dp, greedy, math, sortings",13231
Even Path,1252,C,"data structures, implementation",3520
Minimize The Integer,1251,C,"greedy, two pointers",11003
Divide The Students,1250,L,"binary search, greedy, math",3918
Happy Birthday,1250,H,math,3879
By Elevator or Stairs?,1249,E,"dp, shortest paths",8742
Good Numbers (hard version),1249,C2,"binary search, greedy, math, meet-in-the-middle",11758
Character Swap (Hard Version),1243,B2,strings,6717
Tile Painting,1242,A,"constructive algorithms, math, number theory",11975
Ivan the Fool and the Probability Theory,1239,A,"combinatorics, dp, math",6909
Standard Free2play,1238,C,"dp, greedy, math",6943
Balanced Removals (Easier),1237,C1,"constructive algorithms, geometry, greedy",5725
Alice and the List of Presents,1236,B,"combinatorics, math",10210
Distinct Characters Queries,1234,D,data structures,13241
Pipes,1234,C,"dp, implementation",11847
Primes and Multiplication,1228,C,"math, number theory",8459
Optimal Subsequences (Easy Version),1227,D1,"data structures, greedy",6007
Messy,1227,C,constructive algorithms,5210
p-binary,1225,C,"bitmasks, brute force, math",8392
Save the Nature,1223,C,"binary search, greedy",7298
Periodic integer number,1219,C,"implementation, strings",1654
Workout plan,1218,F,"data structures, greedy",2804
The Number Of Good Substrings,1217,C,"binary search, bitmasks, brute force",6921
Zmei Gorynich,1217,B,"greedy, math",10651
White Sheet,1216,C,"geometry, math",8307
Ticket Game,1215,D,"games, greedy, math",5884
Swap Letters,1215,C,"constructive algorithms, greedy",10497
Equalizing by Division (hard version),1213,D2,"brute force, math, sortings",10654
Equalizing by Division (easy version),1213,D1,"brute force, implementation",10656
Ice Cream,1211,C,"*special, greedy, sortings",452
Traveling Around the Golden Ring of Berland,1211,B,"*special, implementation",691
Marcin and Training Camp,1210,B,"brute force, greedy",5591
Anadi and Domino,1210,A,"brute force, graphs",5055
Cow and Snacks,1209,D,"dfs and similar, dsu, graphs",8272
Paint the Digits,1209,C,"constructive algorithms, greedy, implementation",7068
Uniqueness,1208,B,"binary search, brute force, implementation, two pointers",9740
Gas Pipeline,1207,C,"dp, greedy",9262
"Anna, Svyatoslav and Maps",1204,C,"dp, graphs, greedy, shortest paths",6258
Boxers,1203,E,"greedy, sortings",12788
Remove the Substring (hard version),1203,D2,"binary search, greedy, implementation, two pointers",6724
Remove the Substring (easy version),1203,D1,"greedy, implementation",8085
You Are Given a Decimal String...,1202,B,"brute force, dp, shortest paths",4221
