Contest,Index,Name,Tags
1393,C,Pinkie Pie Eats Patty-cakes,"constructive algorithms, greedy, math, sortings"
1392,D,Omkar and Bed Wars,"dp, greedy"
1391,C,Cyclic Permutations ,"combinatorics, dp, graphs, math"
1389,C,Good String,"brute force, dp, greedy, two pointers"
1389,B,Array Walk,"brute force, dp, greedy"
1385,D,a-Good String,"bitmasks, brute force, divide and conquer, dp, implementation"
1383,A,String Transformation 1,"dsu, graphs, greedy, sortings, strings, trees, two pointers"
1381,A2,Prefix Flip (Hard Version),"constructive algorithms, data structures, implementation, strings, two pointers"
1379,B,Dubious Cyrpto,"binary search, brute force, math, number theory"
1379,A,Acacius and String,"brute force, implementation, strings"
1374,E1,Reading Books (easy version),"data structures, greedy, sortings"
1373,D,Maximum Sum on Even Positions,"divide and conquer, dp, greedy, implementation"
1372,C,Omkar and Baseball,"constructive algorithms, math"
1371,D,Grid-00100,"constructive algorithms, greedy, implementation"
1368,D,"AND, OR and square sum","bitmasks, greedy, math"
1368,C,Even Picture,constructive algorithms
1368,B,Codeforces Subsequences,"brute force, constructive algorithms, greedy, math, strings"
1366,C,Palindromic Paths,"greedy, math"
1365,D,Solve The Maze,"constructive algorithms, dfs and similar, dsu, graphs, greedy, implementation, shortest paths"
1364,C,Ehab and Prefix MEXs,"brute force, constructive algorithms, greedy"
1363,C,Game On Leaves,"games, trees"
1361,A,Johnny and Contribution,"constructive algorithms, graphs, greedy, sortings"
1360,F,Spy-string,"bitmasks, brute force, constructive algorithms, dp, hashing, strings"
1359,C,Mixing Water,"binary search, math"
1358,C,Celex Update,math
1353,D,Constructing the Array,"constructive algorithms, data structures, sortings"
1352,G,Special Permutation,constructive algorithms
1352,F,Binary String Reconstruction,"constructive algorithms, dfs and similar, math"
1352,E,Special Elements,"brute force, implementation, two pointers"
1349,A,Orac and LCM,"data structures, math, number theory"
1348,C,Phoenix and Distribution,"constructive algorithms, greedy, sortings, strings"
1346,E,Magic Tricks,"*special, dp, graphs"
1346,D,Constructing the Dungeon,"*special, graphs, greedy"
1346,C,Spring Cleaning,"*special, greedy, sortings"
1344,A,Hilbert's Hotel,"math, number theory, sortings"
1343,D,Constant Palindrome Sum,"brute force, data structures, greedy, two pointers"
1342,C,Yet Another Counting Problem,"math, number theory"
1340,B,Nastya and Scoreboard,"bitmasks, dp, graphs, greedy"
1340,A,Nastya and Strange Generator,"brute force, data structures, greedy, implementation"
1338,A,Powered Addition,"greedy, math"
1336,B,Xenia and Colorful Gems,"binary search, greedy, math, sortings, two pointers"
1336,A,Linova and Kingdom,"dfs and similar, dp, greedy, sortings, trees"
1335,E1,Three Blocks Palindrome (easy version),"binary search, brute force, data structures, dp, two pointers"
1334,C,Circle of Monsters,"brute force, constructive algorithms, greedy, math"
1333,C,Eugene and an array,"binary search, data structures, implementation, two pointers"
1332,D,Walk on Matrix,"bitmasks, constructive algorithms, math"
1332,C,K-Complete Word,"dfs and similar, dsu, greedy, implementation, strings"
1329,B,Dreamoon Likes Sequences,"bitmasks, combinatorics, math"
1327,C,Game with Chips,"constructive algorithms, implementation"
1326,D1,Prefix-Suffix Palindrome (Easy version),"hashing, string suffix structures, strings"
1325,D,Ehab the Xorcist,"bitmasks, constructive algorithms, greedy, number theory"
1325,C,Ehab and Path-etic MEXs,"constructive algorithms, dfs and similar, greedy, trees"
1324,E,Sleeping Schedule,"dp, implementation"
1323,B,Count Subrectangles,"binary search, greedy, implementation"
1321,C,Remove Adjacent,"brute force, constructive algorithms, greedy, strings"
1320,B,Navigation System,"dfs and similar, graphs, shortest paths"
1313,C1,Skyscrapers (easy version),"brute force, data structures, dp, greedy"
1313,B,Different Rules,"constructive algorithms, greedy, implementation, math"
1312,D,Count the Arrays,"combinatorics, math"
1310,A,Recommendations,"data structures, greedy, sortings"
1307,C,Cow and Message,"brute force, dp, math, strings"
1305,C,Kuroni and Impossible Calculation,"brute force, combinatorics, math, number theory"
1304,C,Air Conditioner,"dp, greedy, implementation, sortings, two pointers"
1303,C,Perfect Keyboard,"dfs and similar, greedy, implementation"
1301,C,Ayoub's function,"binary search, combinatorics, greedy, math, strings"
1301,B,Motarack's Birthday,"binary search, greedy, ternary search"
1299,A,Anu Has a Function,"brute force, greedy, math"
1296,D,Fight with Monsters,"greedy, sortings"
1296,C,Yet Another Walking Robot,"data structures, implementation"
1295,C,Obtain The String,"dp, greedy, strings"
1295,B,Infinite Prefixes,"math, strings"
1294,D,MEX maximizing,"data structures, greedy, implementation, math"
1292,B,Aroma's Search,"brute force, constructive algorithms, geometry, greedy, implementation"
1290,A,Mind Control,"brute force, data structures, implementation"
1288,C,Two Arrays,"combinatorics, dp"
1287,B,Hyperset,"brute force, data structures, implementation"
1284,C,New Year and Permutation,"combinatorics, math"
1283,C,Friends and Gifts,"constructive algorithms, data structures, math"
1282,B2,K for the Price of One (Hard Version),"dp, greedy, sortings"
1281,B,Azamon Web Services,greedy
1280,A,Cut and Paste,"implementation, math"
1279,D,Santa's Bot,"combinatorics, math, probabilities"
1278,C,Berry Jam,"data structures, dp, greedy, implementation"
1278,B,A and B,"greedy, math"
1272,D,Remove One Element,"brute force, dp"
1269,B,Modulo Equality,"brute force, sortings"
1268,A,Long Beautiful Integer,"constructive algorithms, greedy, implementation, strings"
1267,E,Elections,greedy
1264,A,Beautiful Regional Contest,"greedy, implementation"
1263,D,Secret Passwords,"dfs and similar, dsu, graphs"
1260,C,Infinite Fence,"greedy, math, number theory"
1257,D,Yet Another Monster Killing Problem,"binary search, data structures, dp, greedy, sortings, two pointers"
1256,D,Binary String Minimizing,greedy
1256,C,Platforms Jumping,greedy
1255,C,League of Leesins,"constructive algorithms, implementation"
1254,A,Feeding Chicken,"constructive algorithms, greedy, implementation"
1253,D,Harmonious Graph,"constructive algorithms, dfs and similar, dsu, graphs, greedy, sortings"
1253,C,Sweets Eating,"dp, greedy, math, sortings"
1252,C,Even Path,"data structures, implementation"
1251,C,Minimize The Integer,"greedy, two pointers"
1250,L,Divide The Students,"binary search, greedy, math"
1250,H,Happy Birthday,math
1249,E,By Elevator or Stairs?,"dp, shortest paths"
1249,C2,Good Numbers (hard version),"binary search, greedy, math, meet-in-the-middle"
1243,B2,Character Swap (Hard Version),strings
1242,A,Tile Painting,"constructive algorithms, math, number theory"
1239,A,Ivan the Fool and the Probability Theory,"combinatorics, dp, math"
1238,C,Standard Free2play,"dp, greedy, math"
1237,C1,Balanced Removals (Easier),"constructive algorithms, geometry, greedy"
1236,B,Alice and the List of Presents,"combinatorics, math"
1234,D,Distinct Characters Queries,data structures
1234,C,Pipes,"dp, implementation"
1228,C,Primes and Multiplication,"math, number theory"
1227,D1,Optimal Subsequences (Easy Version),"data structures, greedy"
1227,C,Messy,constructive algorithms
1225,C,p-binary,"bitmasks, brute force, math"
1223,C,Save the Nature,"binary search, greedy"
1219,C,Periodic integer number,"implementation, strings"
1218,F,Workout plan,"data structures, greedy"
1217,C,The Number Of Good Substrings,"binary search, bitmasks, brute force"
1217,B,Zmei Gorynich,"greedy, math"
1216,C,White Sheet,"geometry, math"
1215,D,Ticket Game,"games, greedy, math"
1215,C,Swap Letters,"constructive algorithms, greedy"
1213,D2,Equalizing by Division (hard version),"brute force, math, sortings"
1213,D1,Equalizing by Division (easy version),"brute force, implementation"
1211,C,Ice Cream,"*special, greedy, sortings"
1211,B,Traveling Around the Golden Ring of Berland,"*special, implementation"
1210,B,Marcin and Training Camp,"brute force, greedy"
1210,A,Anadi and Domino,"brute force, graphs"
1209,D,Cow and Snacks,"dfs and similar, dsu, graphs"
1209,C,Paint the Digits,"constructive algorithms, greedy, implementation"
1208,B,Uniqueness,"binary search, brute force, implementation, two pointers"
1207,C,Gas Pipeline,"dp, greedy"
1204,C,"Anna, Svyatoslav and Maps","dp, graphs, greedy, shortest paths"
1203,E,Boxers,"greedy, sortings"
1203,D2,Remove the Substring (hard version),"binary search, greedy, implementation, two pointers"
1203,D1,Remove the Substring (easy version),"greedy, implementation"
1202,B,You Are Given a Decimal String...,"brute force, dp, shortest paths"
1201,B,Zero Array,"greedy, math"
1198,B,Welfare State,"binary search, brute force, data structures, sortings"
1198,A,MP3,"sortings, two pointers"
1196,D2,RGB Substring (hard version),"data structures, dp, implementation, two pointers"
1196,D1,RGB Substring (easy version),implementation
1196,C,Robot Breakout,implementation
1195,D1,Submarine in the Rybinsk Sea (easy edition),"combinatorics, math, number theory"
1194,D,1-2-K Game,"games, math"
1188,A1,Add on a Tree,trees
1186,D,Vus the Cossack and Numbers,"constructive algorithms, greedy, math"
1185,D,Extra Element,"implementation, math"
1185,C2,Exam in BerSU (hard version),"brute force, data structures, greedy, math"
1184,D1,Parallel Universes (Easy),implementation
1184,C1,Heidi and the Turing Test (Easy),implementation
1182,C,Beautiful Lyrics,"data structures, greedy, strings"
1181,B,Split a Number,"greedy, implementation, strings"
1180,B,Nick and Array,"greedy, implementation"
1179,A,Valeriy and Deque,"data structures, implementation"
1178,D,Prime Graph,"constructive algorithms, greedy, math, number theory"
1176,E,Cover it!,"dfs and similar, dsu, graphs, shortest paths, trees"
1175,C,Electrification,"binary search, brute force, greedy"
1175,B,Catch Overflow!,"data structures, expression parsing, implementation"
1169,B,Pairs,"graphs, implementation"
1168,A,Increasing by Modulo,"binary search, greedy"
1167,D,Bicolored RBS,"constructive algorithms, greedy"
1166,C,A Tale of Two Lands,"binary search, sortings, two pointers"
1165,E,Two Arrays and Sum of Functions,"greedy, math, sortings"
1165,D,Almost All Divisors,"math, number theory"
1163,B2,Cat Party (Hard Edition),"data structures, implementation"
1163,B1,Cat Party (Easy Edition),"data structures, implementation"
1158,A,The Party and Sweets,"binary search, constructive algorithms, greedy, implementation, math, sortings, two pointers"
1157,E,Minimum Array,"binary search, data structures, greedy"
1157,C2,Increasing Subsequence (hard version),greedy
1154,D,Walking Robot,greedy
