Handle,Max Rating_x,Result,Max Rating_y
tft_grandmaster,1718,Yes,1718
Oinng,1733,Yes,1733
OmarTammam,1697,Yes,1697
kyoukohori,1767,Yes,1767
akshay_1,1937,Yes,1937
liupengsay,1989,Yes,1989
mahersefo,2032,Yes,2032
bhukyatharun216,1826,Yes,1826
margo820,1737,Yes,1737
Ssaranshh13,1694,Yes,1694
yuvraj_k,1777,Yes,1777
zhligzweru,1693,Yes,1664
akritovandrey,1838,Yes,1838
harshjaiswalcr7,1810,Yes,1810
_xiaohao,1691,Yes,1691
c_plus_plus,1691,Yes,1691
lizhous,1702,Yes,1702
Sarment,1839,Yes,1839
_Aghost,1838,Yes,1838
greensignal,1688,Yes,1688
34z12000,1750,Yes,1750
AyuAnchor,1791,Yes,1791
Gabituss,1797,Yes,1797
dshfjka,1687,Yes,1687
kysibongdem,1687,Yes,1687
oogerbooger,1752,Yes,1752
cypher_king,1733,Yes,1733
hnust_lijiahui,1686,Yes,1655
Art.twink,1685,Yes,1684
jz796,1890,Yes,1890
Alexey_Parsh,1740,Yes,1740
nirav114,1709,Yes,1709
gagan_6730,1783,Yes,1783
hasan2006,1800,Yes,1800
pipiaker,1683,Yes,1683
yolx,1683,Yes,1683
hnust_lizhongyu,1703,Yes,1703
kaislash.,1940,Yes,1940
cyc_43346,1681,Yes,1681
Apiram,1748,Yes,1748
mohammadsam,1751,Yes,1751
AIphaZero,1789,Yes,1789
Vikas_Ahlawat,1774,Yes,1774
Jerseys,1801,Yes,1801
digambar_18,1678,Yes,1676
lin_x,1678,Yes,1678
vaibhav_1710,1678,Yes,1678
HorridBear,1700,Yes,1700
IbrahimHabib,1747,Yes,1747
cownvex_hull,1761,Yes,1761
naeem4265,1778,Yes,1778
prz1213,1676,Yes,1570
bkdn23.huhuu,1697,Yes,1697
Bruce12138,1995,Yes,1995
Lazy_Labs,1674,Yes,1674
DreamDimo,1673,Yes,1673
Xiaoxx,1816,Yes,1816
paras__g3,1729,Yes,1729
bhatnagar.mradul,2171,Yes,2171
ZhiGeBaiShui,1752,Yes,1752
buxiang-qichuang,1671,Yes,1671
haha_harshit,1671,Yes,1545
le_banner,1780,Yes,1780
Cream_cake,1670,Yes,1670
Deeeeemo,1701,Yes,1701
nicnic4102,1670,Yes,1670
7mody,1694,Yes,1694
cfalas,1944,Yes,1944
AUDzer0,1667,Yes,1485
Abyss-skber,1667,Yes,1569
samriddhjn,1889,Yes,1889
bans1mp,1666,Yes,1666
rj52171,1666,Yes,1597
6codingrohan,1665,Yes,1647
Cereal,1745,Yes,1745
TKXZ133,1732,Yes,1732
ZoTH,1664,Yes,1657
zronghui,1664,Yes,1664
J_kkk,1765,Yes,1765
Vecola,1663,Yes,1663
ctraxxd,1693,Yes,1693
namsee1,1760,Yes,1760
straskibor1,1704,Yes,1704
unexpected07,1683,Yes,1683
Priyanshu.Rmn,1714,Yes,1714
Sam_Jiang,1661,Yes,1661
Nefelibata__,1660,Yes,1660
Ilegia,1659,Yes,1659
ansh.chaturmohta,1658,Yes,1658
elephant_1016,1658,Yes,1658
BitSlayer,1682,Yes,1682
Je_f,1706,Yes,1706
Noctambulant,1927,Yes,1927
ambuj21,1656,Yes,1656
Ashutosh_703,1704,Yes,1704
Dream_Not_Uploaded,1717,Yes,1717
prem_1,1654,Yes,1654
ucdcjc,1657,Yes,1657
8190804,1652,Yes,1652
TorneyJeneral,1672,Yes,1672
_enzo,1860,Yes,1860
icmourya,1651,Yes,1651
jayeshasawa,1678,Yes,1678
suryam35,1860,Yes,1860
LUlululu1616,1662,Yes,1662
Wqq2022214662,1649,Yes,1649
ccdfw,1764,Yes,1764
mohit13579_,1649,Yes,1649
shivn,1687,Yes,1687
EthanH3514,1646,Yes,1646
Menos,1788,Yes,1788
notaapoorv,1646,Yes,1593
ye_to_easy_hai,1648,Yes,1648
Maatt,1645,Yes,1645
MarwenElarbi,1645,Yes,1645
Sahil_32,1645,Yes,1535
jican000,1645,Yes,1645
laupm,1645,Yes,1592
qdhys,1645,Yes,1639
Zinc-acetate,1674,Yes,1674
laalci_baba,1709,Yes,1709
ansh,1787,Yes,1787
jiangzhihui,1686,Yes,1686
raktcharita2000,1656,Yes,1656
MaxDYF,1642,Yes,1611
MirioTogata,1745,Yes,1745
praneeth6116,1642,Yes,1642
killer_2011,1641,Yes,1641
AhmedM00,1640,Yes,1640
I_want,1711,Yes,1711
pattagobhii,1640,Yes,1617
shivaram_22,1935,Yes,1935
Blue_Poison,1900,Yes,1900
bkdn23._N_H_A_T_,1639,Yes,1639
chaitanyad81,1639,Yes,1639
ForDiv3Only-DontGoBlue,1638,Yes,1638
KushBansal,1759,Yes,1759
Mag1sk,1820,Yes,1820
hung8A,1805,Yes,1805
sumairu,1680,Yes,1680
BoosterImpulse,1637,Yes,1637
nannan_servant,1637,Yes,1637
sr3q_mk,1637,Yes,1553
sambhrant_07,1636,Yes,1636
ashwat_thama,1641,Yes,1641
devesh_7,1780,Yes,1780
Twits,1634,Yes,1611
krzkos,1640,Yes,1640
moradiya84,1637,Yes,1637
Elderidge,1632,Yes,1604
sannin.uchiha,1701,Yes,1701
Kaor1,2140,Yes,2140
Mr.Puuu,1631,Yes,1631
XiaoTie,1631,Yes,1631
Xiomara_YiJie,1631,Yes,1631
ibrm,1710,Yes,1710
CowwyCow,1630,Yes,1630
Jayg000e,1630,Yes,1591
tt829,1712,Yes,1712
0abhay0,1742,Yes,1742
Haire,1656,Yes,1656
Hirro,1629,Yes,1629
Pistol_Engineer,1751,Yes,1751
lazar3141,1749,Yes,1749
not_sam_28,1687,Yes,1687
kujwal,1628,Yes,1628
roctes7,1737,Yes,1737
wronganswerrr,1798,Yes,1798
AL70SSAIN,1627,Yes,1498
Homie_Lander,1663,Yes,1663
LJYljy,1669,Yes,1669
abhinav6483,1627,Yes,1627
sanchit1053,1668,Yes,1668
sashastrakhal,1675,Yes,1675
42-the_answer,1645,Yes,1645
AhamNom,1730,Yes,1730
TianJingHuDaShuiGuai,1734,Yes,1734
deepansh10,1789,Yes,1789
Kartoshkasmyasom,1679,Yes,1679
gauravmahendraker,1745,Yes,1745
sparkblit,1625,Yes,1574
x__h__w__123,1625,Yes,1561
Harsh_Dagar__,1624,Yes,1624
SterbenVD,1624,Yes,1624
UniversalAdmin,1888,Yes,1888
bkdn23.Duck,1624,Yes,1575
zackscott286,1624,Yes,1624
Cheerio2022,1623,Yes,1542
DedsecKnight,1826,Yes,1826
susenyang,1623,Yes,1571
A_Honey_Badger,1622,Yes,1622
adityajangir71,1640,Yes,1640
gameboygzm,1752,Yes,1752
jankos19,1658,Yes,1658
limitem,1622,Yes,1622
limbennett,1621,Yes,1621
Chyuh,1619,Yes,1619
KevinYang07_fan,1619,Yes,1619
_hardtime,1720,Yes,1720
animesssh24,1619,Yes,1619
dimitri1244,1798,Yes,1798
Microchip,1749,Yes,1749
Nice_try__o,1618,Yes,1618
Shubham10111,1726,Yes,1726
prettychang,1618,Yes,1618
Gaurav_21,1617,Yes,1617
INMAK,1656,Yes,1656
Kamikaze_007,1690,Yes,1690
Mysterious109,1881,Yes,1881
Tang2,1617,Yes,1603
jedi1234,1617,Yes,1617
prathampekamwar,1723,Yes,1723
Eslam_Ahmed,1745,Yes,1745
NJUST_wyx,1616,Yes,1616
