Handle,Max Rating,Result
Serendipity__,2258,No
T4M0FEY,2239,
Wansur,2161,Yes
clfzs,2268,No
jiangtaizhe001,2199,Yes
kiritan,2226,No
ssk4988,2161,
whdywjd,2165,No
Blitztage,2171,
TearsFreeze,2287,
Vectors_Master,2261,Yes
Ynoi,2177,
YuJiahe,2268,Yes
fs20091003,2160,No
Psychotic_D,2347,Yes
de_while_que,2159,
IZOI,2158,Yes
OneStone,2158,No
jhhope1,2399,
mr.kolya,2175,No
xiaruize,2211,No
yagoo,2158,
Gellertke,2223,No
MikhailKapitov,2181,No
chuchu,2237,No
depr13y0,2403,
for_sx_e_1,2157,No
vegetable_he,2157,
Ferume,2281,No
JagguBandar,2235,Yes
Wolam,2215,No
antguz,2269,
clonemasteruwu,2243,No
sanyon,2199,Yes
Andyvanh1,2288,No
CCSU_DZX,2155,No
JOliva,2217,
Yunlong_Li,2248,No
awesomeguy856,2155,No
lexiyvv,2412,No
pac-man21,2172,No
rickbaishuak,2235,No
CoDeRoK,2232,No
CodigoL,2391,No
Meijer,2494,Yes
Z_i_X,2154,No
1234huang,2153,No
AC464,2205,Yes
Fly_37,2450,No
XDEv11,2169,No
abhidot,2268,Yes
apoorv_me,2401,No
gohan123,2260,No
ButterflyDew,2374,No
Error-42,2208,No
ha___il,2220,No
islingr,2227,Yes
Su_Zipei,2233,No
kIee,2237,No
karinohito,2313,No
lg_zhou,2185,
2018liuzhiyuan,2313,No
Agnus,2174,No
ForwardJ,2226,No
N.N_2004,2327,No
keyurchd_11,2168,Yes
penguin133,2150,No
wonbin0504,2150,No
John_zyj,2155,Yes
LskkknoAce,2149,No
_Wallace_61430,2334,No
hopsfb,2232,No
parkky,2184,No
udon1206,2319,No
EvgenKarpov,2181,No
Kidulthood,2255,No
__sleep,2395,No
buihoatchuyenhv,2183,
jaewoo2009,2208,Yes
kaori1,2159,No
surajchip2,2148,No
Proofy,2147,Yes
Riladavin,2224,
Antichain,2146,No
Prostoegor239,2399,Yes
Yugi.Hacker,2162,
_bLIC_,2146,No
apgpsoop,2158,No
brobat,2350,No
cqbzly,2256,Yes
ooaa,2320,No
Alfeh2,2145,
HaPpY1213,2159,Yes
Kira_1234,2512,Yes
yingxue,2181,No
zuishuai,2145,
Badint,2205,Yes
The_thought_of_fallout,2202,
gingers,2222,No
huxch135,2184,
lotusblume,2366,No
123ZDQ,2202,No
AlexanderL,2302,
Gheal,2324,Yes
Phantom_Deluxe,2204,Yes
tinca_matei,2338,No
Wall_breaker,2206,No
amirhoseinfar1385,2309,No
silv723,2141,No
yangjl,2218,Yes
coconut99,2140,No
kaikey,2244,No
nana7mi_channel,2174,
Fuzen527,2242,Yes
Nanani,2253,Yes
Ritwin,2291,No
Yuki726,2287,No
WCG,2386,
ghoul932,2178,Yes
BIT_smzzl,2144,No
Othinus,2137,
PBX_1,2158,No
dahoon46,2137,No
dengziyue,2182,Yes
piyush_pransukhka,2199,No
EasyRed29,2210,
RGB_ICPC4,2247,No
Xaxixin,2330,No
4_Hospital_President,2135,No
Ann,2135,Yes
Lavine,2180,No
Roll_Num_56,2242,No
Wielomian,2382,No
cy1999,2226,No
-Complex-,2162,No
AhmedEzzatG,2148,No
Air_Wind,2134,No
Alihan_8,2200,No
ApproachingStorm,2211,No
Daniel081024,2134,No
Luminolic_Black,2134,No
ballad,2244,No
fr200110217102,2414,No
fyable,2134,No
tietui77,2134,No
yoav_s,2183,No
yukai,2134,No
AmirrzwM,2233,Yes
Genius_dream,2171,No
_CbrX_,2133,No
_Ezreal,2177,No
east1016,2185,No
ilia-ivanov,2224,
kirillbogatiy,2244,No
magnified,2501,No
qwqFomalhaut,2133,Yes
n0sk1ll,2239,Yes
nukelauncher,2149,No
ParsaS,2327,No
smalyarovsky,2131,No
thecold,2169,No
zepto,2131,No
CharlesWuQiushi,2190,No
DanTheMan_,2320,No
michao,2263,No
pog,2141,No
MistZero2,2128,No
ZhouYuHang,2155,No
baijiaohu,2128,No
henry-tb,2196,No
ht_Z,2128,Yes
konb1,2176,
SmoggingSpun,2129,No
arvindr9,2298,No
status_coding,2192,Yes
un4gettable_rain,2130,No
zyc070419,2127,Yes
Drice,2333,No
Faccirx,2184,No
Lylova,2196,No
Markellonchik,2363,
Peter-007,2205,No
Tobo,2238,No
EJIC_B_KEDAX,2263,No
Vladithur,2400,
jjaworska,2401,No
Eurlo,2124,No
RedMind,2326,No
Temmie,2419,No
sgweo8ys,2124,No
pty6666,2236,Yes
369Pai,2122,
DJRzjl,2175,No
DimonKrutoi,2220,Yes
GoatTamer,2231,No
Kaibad,2302,No
gortomi,2125,
someone__,2177,No
Cipherxzc,2151,Yes
Luna_Sakurakouji,2185,No
bcollet,2268,No
edogawa_something,2121,No
CYYsOPaccount,2120,No
Haa,2340,No
IvanBorquez,2136,No
LordVoIdebug,2292,Yes
bcyjtyl,2120,No
imtore,2203,No
lsantire,2328,
zbceyond,2128,Yes
hhhyh,2119,Yes
tobias.glimmerfors,2375,
xb2403,2119,No
yanghanyv,2119,No
Hosen_ba,2140,Yes
Swishy123,2118,No
brothernumb2002,2118,No
CN_Air.,2129,No
Hammer,2117,No
Hemose,2237,No
Sai_t,2117,No
Sparkle_ZH,2139,No
SyruLoveNewTechnology,2117,
c20230537,2117,No
dabbler1,2134,No
pasa3232,2195,No
scli_kjh,2117,
AboAbdoMC,2142,No
DaNeK0201,2155,No
ast123,2116,No
ciuim,2123,No
ebi_fly,2199,No
ikrpprppp,2292,No
rainboy,2396,No
suisdavid,2209,No
0e4ef622,2115,No
