Problem,Contest,Index,Tags,solvedCount
Promising String (hard version),1660,F2,"data structures, implementation, math, strings",2438
Promising String (easy version),1660,F1,"brute force, implementation, math, strings",6598
Matrix and Shifts,1660,E,"brute force, constructive algorithms, greedy, implementation",6602
Maximum Product Strikes Back,1660,D,"brute force, implementation, math, two pointers",7540
Reverse Sort Sum,1659,D,"constructive algorithms, data structures, greedy, implementation, math, two pointers",3663
Line Empire,1659,C,"binary search, brute force, dp, greedy, implementation, math",8868
Red Versus Blue,1659,A,"constructive algorithms, greedy, implementation, math",15639
Gojou and Matrix Game,1658,E,"data structures, dp, games, hashing, implementation, math, number theory, sortings",931
Marin and Photoshoot,1658,A,"constructive algorithms, implementation, math",19803
Bracket Sequence Deletion,1657,C,"greedy, implementation",16022
Alice and the Cake,1654,C,"data structures, greedy, implementation, sortings",12585
Maximum Cake Tastiness,1654,A,"brute force, greedy, implementation, sortings",18063
Fault-tolerant Network,1651,C,"brute force, data structures, implementation",10034
Playoff,1651,A,implementation,24863
Vitaly and Advanced Useless Algorithms,1650,F,"dp, greedy, implementation",1286
Rescheduling the Exam,1650,E,"binary search, data structures, greedy, implementation, math, sortings",3809
Twist the Permutation,1650,D,"brute force, constructive algorithms, implementation, math",12135
Weight of the System of Nested Segments,1650,C,"greedy, hashing, implementation, sortings",15528
Deletions of Two Adjacent Letters,1650,A,"implementation, strings",32469
Game of Ball Passing,1649,B,"greedy, implementation",12286
Game,1649,A,implementation,14999
Air Reform,1648,E,"data structures, dfs and similar, divide and conquer, dsu, graphs, implementation, trees",335
Serious Business,1648,D,"data structures, divide and conquer, dp, implementation, shortest paths",695
Tyler and Strings,1648,C,"combinatorics, data structures, implementation",2723
Madoka and the Elegant Gift,1647,B,"brute force, constructive algorithms, graphs, implementation",14622
Madoka and Math Dad,1647,A,"implementation, math",22024
Playing Around the Table,1646,F,"constructive algorithms, greedy, implementation",358
Weight the Tree,1646,D,"constructive algorithms, dfs and similar, dp, implementation, trees",3295
Expand the Path,1644,E,"brute force, combinatorics, data structures, implementation, math",2796
Cross Coloring,1644,D,"data structures, implementation, math",6689
Increase Subarray Sums,1644,C,"brute force, dp, greedy, implementation",12822
Anti-Fibonacci Permutation,1644,B,"brute force, constructive algorithms, implementation",20168
Doors and Keys,1644,A,implementation,26190
Repetitions Decoding,1641,B,"constructive algorithms, implementation, sortings",3589
Colorful Operations,1638,E,"brute force, data structures, implementation",1666
Big Brush,1638,D,"constructive algorithms, data structures, greedy, implementation",3879
Best Pair,1637,E,"binary search, brute force, implementation",3028
Andrew and Stones,1637,C,"greedy, implementation",16722
Fibonacci Additions,1634,F,"brute force, data structures, hashing, implementation, math",1378
ABC,1632,A,implementation,27858
Grid Xor,1628,C,"constructive algorithms, greedy, implementation, interactive, math",2940
Meximum Array,1628,A,"binary search, constructive algorithms, greedy, implementation, math, two pointers",14572
Not Splitting,1627,F,"geometry, graphs, greedy, implementation, shortest paths",530
Not Escaping,1627,E,"data structures, dp, implementation, shortest paths, two pointers",2077
Not Shading,1627,A,"constructive algorithms, implementation",23293
Monsters And Spells,1626,C,"binary search, data structures, dp, greedy, implementation, math, two pointers",10201
Binary Spiders,1625,D,"bitmasks, data structures, implementation, math, sortings, trees",1850
Masha-forgetful,1624,E,"brute force, constructive algorithms, dp, hashing, implementation, strings",3720
Make AP,1624,B,"implementation, math",31574
Robot Cleaner Revisit,1623,D,"implementation, math, probabilities",1306
Game on Ranges,1623,B,"brute force, dfs and similar, implementation, sortings",13577
Robot Cleaner,1623,A,"brute force, implementation, math",19481
Strange Instructions,1621,F,"data structures, greedy, implementation",504
New School,1621,E,"binary search, data structures, dp, greedy, implementation, sortings",1644
Integers Shop,1621,B,"data structures, greedy, implementation",12481
Replace the Numbers,1620,E,"constructive algorithms, data structures, dsu, implementation",7215
BA-String,1620,C,"brute force, dp, greedy, implementation, math",6034
Equal or Not Equal,1620,A,"constructive algorithms, dsu, implementation",20693
MEX and Increments,1619,E,"constructive algorithms, data structures, dp, greedy, implementation, math, sortings",8097
Wrong Addition,1619,C,implementation,19316
Squares and Cubes,1619,B,"implementation, math",28788
Square String?,1619,A,"implementation, strings",44094
Reverse,1618,F,"bitmasks, constructive algorithms, dfs and similar, implementation, math, strings",3776
Missing Bigram,1618,B,implementation,21581
Christmas Chocolates,1617,E,"dfs and similar, dp, games, graphs, implementation, math, number theory, shortest paths, trees",771
Too Many Impostors (hard version),1617,D2,"constructive algorithms, implementation, interactive, math",1614
Too Many Impostors (easy version),1617,D1,"constructive algorithms, implementation, interactive",4339
Representative Edges,1616,C,"brute force, geometry, implementation, math",11418
Integer Diversity,1616,A,implementation,21927
Absent Remainder,1613,B,"greedy, implementation, sortings",20290
Long Comparison,1613,A,"implementation, math",22988
AmShZ and G.O.A.T.,1610,E,"binary search, brute force, greedy, implementation, math",1552
Social Network,1609,D,"dsu, graphs, greedy, implementation, trees",6521
Complex Market Analysis,1609,C,"binary search, dp, implementation, number theory, schedules, two pointers",9145
William the Vigilant,1609,B,"implementation, strings",11257
Divide and Multiply,1609,A,"greedy, implementation, math, number theory",15909
MEX counting,1608,F,"combinatorics, dp, implementation",452
The Cells on the Paper,1608,E,"binary search, implementation, sortings",401
Robot on the Board 2,1607,F,"brute force, dfs and similar, graphs, implementation",1812
Robot on the Board 1,1607,E,implementation,8654
Linear Keyboard,1607,A,"implementation, strings",34274
Red-Blue Matrix,1606,D,"brute force, constructive algorithms, implementation, sortings",1353
Update Files,1606,B,"greedy, implementation, math",17562
Array Equalizer,1605,E,"binary search, greedy, implementation, math, number theory, sortings, two pointers",950
Treelabeling,1605,D,"bitmasks, constructive algorithms, dfs and similar, games, greedy, implementation, trees",2698
Dominant Character,1605,C,"brute force, greedy, implementation, strings",15314
"October 18, 2017",1603,F,"combinatorics, dp, implementation, math",178
