Problem,Contest,Index,Tags,solvedCount
Balanced Bitstring,1404,A,"implementation, strings",14224
Mere Array,1401,C,"constructive algorithms, math, number theory, sortings",22451
Binary String Reconstruction,1400,C,"2-sat, brute force, constructive algorithms, greedy",16126
Binary String To Subsequences,1399,D,"constructive algorithms, data structures, greedy, implementation",16929
Power Sequence,1397,B,"brute force, math, number theory, sortings",13902
Applejack and Storages,1393,B,"constructive algorithms, data structures, greedy, implementation",15810
Cyclic Permutations ,1391,C,"combinatorics, dp, graphs, math",14154
Good String,1389,C,"brute force, dp, greedy, two pointers",17455
a-Good String,1385,D,"bitmasks, brute force, divide and conquer, dp, implementation",17446
Prefix Flip (Easy Version),1381,A1,"constructive algorithms, data structures, strings",19357
Create The Teams,1380,C,"brute force, dp, greedy, implementation, sortings",18886
Universal Solution,1380,B,greedy,13852
Dubious Cyrpto,1379,B,"binary search, brute force, math, number theory",12142
Acacius and String,1379,A,"brute force, implementation, strings",11236
Element Extermination,1375,C,"constructive algorithms, data structures, greedy",19609
Zero Remainder Array,1374,D,"math, sortings, two pointers",20961
Pluses and Minuses,1373,C,math,17437
Omkar and Baseball,1372,C,"constructive algorithms, math",16808
Omkar and Last Class of Math,1372,B,"greedy, math, number theory",24714
A Cookie for You,1371,C,"greedy, implementation, math",19565
Number Game,1370,C,"games, math, number theory",22380
RationalLee,1369,C,"greedy, math, sortings, two pointers",18425
Even Picture,1368,C,constructive algorithms,12766
Codeforces Subsequences,1368,B,"brute force, constructive algorithms, greedy, math, strings",18283
Social Distance,1367,C,"constructive algorithms, greedy, math",21921
Palindromic Paths,1366,C,"greedy, math",12886
Shuffle,1366,B,"math, two pointers",18742
Rotation Matching,1365,C,"constructive algorithms, data structures, greedy, implementation",21318
Trouble Sort,1365,B,"constructive algorithms, implementation",24990
Most socially-distanced subsequence,1364,B,"greedy, two pointers",17671
Subsequence Hate,1363,B,"implementation, strings",21925
Johnny and Another Rating Drop,1362,C,"bitmasks, greedy, math",16282
Polygon,1360,E,"dp, graphs, implementation, shortest paths",23300
Buying Shovels,1360,D,"math, number theory",28621
Game With Array,1355,D,"constructive algorithms, math",16908
Simple Polygon Embedding,1354,C1,"binary search, geometry, math, ternary search",15058
Binary String Reconstruction,1352,F,"constructive algorithms, dfs and similar, math",15197
Special Elements,1352,E,"brute force, implementation, two pointers",17736
"Alice, Bob and Candies",1352,D,implementation,23209
Skier,1351,C,"data structures, implementation",7965
Orac and Models,1350,B,"dp, math, number theory",19354
Phoenix and Beauty,1348,B,"constructive algorithms, data structures, greedy, sortings",23597
Boot Camp,1346,B,"*special, greedy",1139
Nastya and Door,1341,B,"greedy, implementation",18507
Nastya and Strange Generator,1340,A,"brute force, data structures, greedy, implementation",13005
Powered Addition,1338,A,"greedy, math",21434
Anti-Sudoku,1335,D,"constructive algorithms, implementation",25694
K-Complete Word,1332,C,"dfs and similar, dsu, greedy, implementation, strings",15054
Composite Coloring,1332,B,"brute force, constructive algorithms, greedy, math, number theory",16541
Dreamoon Likes Permutations,1330,B,"implementation, math",13540
K-th Beautiful String,1328,B,"binary search, brute force, combinatorics, implementation, math",26933
Prefix-Suffix Palindrome (Easy version),1326,D1,"hashing, string suffix structures, strings",11279
